instrument,name,market,base_time,base_point,list_date,delist_date,weight_method,publisher
000001.SH,上证指数,上海交易所,1990-12-19,100,1991-07-15,,,中证指数有限公司
000016.SH,上证50指数,上海交易所,2003-12-31,1000,2004-01-02,,,中证指数有限公司
000300.SH,沪深300指数,上海交易所,2004-12-31,1000,2005-04-18,,,中证指数有限公司
000688.SH,科创50指数,上海交易所,2019-12-31,1000,2020-07-23,,,中证指数有限公司
000852.SH,中证1000指数,上海交易所,2004-12-31,1000,2014-10-17,,,中证指数有限公司
000903.SH,中证100指数,上海交易所,2005-12-30,1000,2006-05-29,,,中证指数有限公司
000905.SH,中证500指数,上海交易所,2004-12-31,1000,2007-01-15,,,中证指数有限公司
399001.SZ,深证成指,深圳交易所,1994-07-20,1000,1995-01-23,,,深圳证券交易所
399006.SZ,创业板指,深圳交易所,2010-05-31,1000,2010-06-01,,,深圳证券交易所
399330.SZ,深证100,深圳交易所,2002-12-31,1000,2006-01-24,,,深圳证券交易所
899050.BJ,北证50成份指数,北京交易所,2022-04-29,1000,2022-11-21,,,北京证券交易所
